source,sentiment_label,engagement,text,has_action_keywords,date_parsed
tiktok,Positif,122812.0,mulutnya bergula 😭😭😭,False,2025-12-05 16:11:07
tiktok,Netral,92926.0,"jadi setuju sama orang yg pernah ngasih komen, ""princess kalo jadi gubernur"" 😭",False,2025-12-23 15:28:43
tiktok,Negatif,86844.0,ternyata yg rusak di indonesia ini staff2 pejabat anj,False,2025-10-17 20:42:54
tiktok,Positif,81778.0,Korea lagi suka yang gaya plenger plenger 😅,False,2026-01-07 12:51:34
tiktok,Netral,76922.0,"that ""ordal"" 😭😭",False,2025-12-05 16:01:26
tiktok,Positif,75650.0,ibu ini public speaking nya bagus tp kalo review makanan ya begitulah 😭😭,False,2025-12-23 16:37:26
tiktok,Netral,59985.0,ni negara apsi anj,False,2026-01-06 01:11:49
tiktok,Negatif,57844.0,"dari sini kita tau kan dimana kesalahan nya , jadi jangan2 nyalahin presiden",False,2025-10-17 19:18:02
tiktok,Negatif,55689.0,Gayanya kayak udh berkarir puluhan tahun😭❤,False,2026-01-07 14:09:48
tiktok,Negatif,52912.0,"""Ooo,Ordal?"" 🤣🤣🤣🤣😭😭😭😭 rakyat sindir gubernur ❌ gubernur sindir rakyat ✅",False,2025-12-05 17:39:25
tiktok,Negatif,52868.0,"“Bilang dinsos yang beli, jelek ini kursi rodanya” 😭😭😭",False,2025-12-23 18:48:51
tiktok,Negatif,38256.0,“Seperti caviar” tambah nggak ngerti 😭,False,2025-12-23 13:04:19
tiktok,Positif,36385.0,"tapi emang mukanya setipe kaya korea kabupaten yg di drakor""..pembawaan kakanya juga ceria..",False,2026-01-07 12:25:10
tiktok,Netral,34513.0,"""yang lain mungkin kurang doa😭""",False,2025-12-05 16:28:04
tiktok,Negatif,34359.0,60.000 siswa itu dimana hayoloohhh,False,2025-10-17 17:08:23
tiktok,Netral,33217.0,Ucapan dan ekspresi dijual terpisah😭,False,2025-12-05 20:40:47
tiktok,Negatif,31122.0,"paling gongnya ""ordal?"" 🤣🤣🤣😭",False,2025-12-05 17:35:55
tiktok,Negatif,26992.0,bayangin itu mak lu d gituin 🥺,False,2026-01-06 01:42:35
tiktok,Negatif,25719.0,"vibesnya kaya cuma iseng"" ikut tapi menang😭😭",False,2026-01-07 16:56:30
tiktok,Positif,25534.0,ngomongnya khas cici cici bngt 🤭😅🫰,False,2025-12-05 17:44:24
tiktok,Positif,25139.0,kebayang betapa meriahnya hidup Pak Benny dulu 🥺,False,2025-12-23 13:22:47
tiktok,Negatif,24275.0,"oh itu suaminya org koreaa, kirain org yg beneran gabut trs kesana😭🙏",False,2026-01-07 12:41:12
tiktok,Positif,23942.0,In women can lead we trust,False,2025-11-22 14:53:13
tiktok,Negatif,23159.0,"tau nggak sih, kalau ada orang yang olahraga pakai headset itu, artinya dia sedang tidak mau di ganggu, dan tidak mau diajak ngobrol",False,2025-06-03 02:07:55
tiktok,Netral,23122.0,20$ for a teacher 😱😱😱😱😱,False,2025-08-31 02:15:12
tiktok,Netral,20948.0,Venezuela's Air Defense,False,2026-01-04 10:35:05
tiktok,Positif,20791.0,Vibe nya kaya dangdut indosiar 😅,False,2026-01-07 12:34:54
tiktok,Negatif,20648.0,“Jelek kursi rodanya” benar2 kena mental 😂,False,2025-12-23 15:50:38
tiktok,Positif,20493.0,dia sendirian berani ngcak ngacak korea 😭 kamu keren mbak 🙏😭😭,False,2026-01-07 17:32:24
tiktok,Negatif,20321.0,"jadikan dia Mentri,,,biar ada teman pak Purbaya,,,buat bersih bersih",False,2025-10-17 17:56:21
tiktok,Negatif,19453.0,"orang luar negri aja kaget gaji guru di Indonesia,emang benar ini negara sakit dan gue gak Terima walaupun dulu nya nakal tapi selalu hormat dan hargai guru",False,2025-08-31 07:06:52
tiktok,Netral,19245.0,emak emak pada umumnya 😭😭🙏,False,2025-12-05 17:36:21
tiktok,Negatif,18698.0,Is this true?.,False,2025-08-30 23:22:03
