url,title,displayedUrl,description,emphasizedKeywords,siteLinks,productInfo,likes,lastUpdated,channelName,type,position,reelLength,followersAmount,tweetCards,date,views,personalInfo,source_file
https://www.instagram.com/p/DTMxDoxk5av/,Wacana pemilihan kepala daerah (Pilkada) melalui DPRD ...,Instagram › narasinewsroom,Usulan ini didukung hampir seluruh partai politik yang duduk di parlemen. Pemerintah turut merespons wacana ini.,[],[],{},"1,4 rb+ suka",1 hari yang lalu,p,organic,1,,,,,,,instagram_search.json
https://www.instagram.com/p/DSFIfoJkXhB/,Pemilihan Kepala Daerah oleh DPRD kembali ...,Instagram › mediaindonesia,"69 likes, 5 comments - mediaindonesia on December 10, 2025: ""Pemilihan Kepala Daerah oleh DPRD kembali mengemuka di tengah penolakan oleh ...","['Pemilihan', 'DPRD']",[],{},60+ suka,4 minggu yang lalu,p,organic,2,,,,,,,instagram_search.json
https://www.instagram.com/p/DTQBWS8Eg-9/,Wacana pilkada lewat DPRD kembali menguat setelah ...,Instagram › kompascom,"1310 likes, 201 comments - kompascom on January 8, 2026: ""Wacana pilkada lewat DPRD kembali menguat setelah Ketua Umum Partai Golkar Bahlil ...",['DPRD'],[],{},"1,3 rb+ suka",4 jam yang lalu,p,organic,3,,,,,,,instagram_search.json
https://www.instagram.com/p/DTKoLDzk_eD/,PROJO Setujui Kompromi Pilkada: Gubernur Dipilih DPRD ...,Instagram › dppprojo,Dewan Pimpinan Daerah (DPD) Projo Banten telah menggelar konsolidasi besar dengan delapan DPC kabupaten/kota se-Provinsi Banten.,[],[],{},10+ suka,2 hari yang lalu,p,organic,4,,,,,,,instagram_search.json
https://www.instagram.com/reel/DDyQwNrPzhy/,Kami sepakat dengan adanya wacana Gubernur dipilih oleh ...,Instagram › syaifulhooda,... Gubernur dipilih oleh DPRD karena besar nya biaya pilkada langsung . 3 pertimbangan penting kenapa Gubernur tidak harus di pilih langsung ...,[],[],{},130+ suka,1 tahun yang lalu,reel,organic,5,2:17,,,,,,instagram_search.json
https://www.instagram.com/p/DSr4dnKkkhR/,[ 𝐁𝐔𝐏𝐀𝐓𝐈 𝐃𝐈𝐏𝐈𝐋𝐈𝐇 𝐃𝐏𝐑𝐃? 𝐃𝐄𝐌𝐎𝐊𝐑𝐀𝐒𝐈 𝐊𝐎𝐊 ...,Instagram › juristic.id,"juristic.id on December 24, 2025: ""[ BUPATI DIPILIH DPRD? DEMOKRASI KOK MAKIN PENDEK ] Wacana pemilihan kepala daerah oleh DPRD kembali ...","['DPRD', 'pemilihan', 'DPRD']",[],{},70+ suka,2 minggu yang lalu,p,organic,6,,,,,,,instagram_search.json
https://www.instagram.com/p/DTNhwDKE_A6/,"Gubernur Dipilih DPRD, Bupati dan Wali Kota Tetap ...",Instagram › dppprojo,"Pemerintah Daerah Kabupaten Gowa dan proses demokrasi semakin demokratis. DPRD terpilih sebagai penentu Gubernur, Bupati, dan Wali Kota ...","['DPRD', 'Gubernur']",[],{},1 suka,1 hari yang lalu,p,organic,7,,,,,,,instagram_search.json
https://www.instagram.com/p/DOdM9jdE3FR/,"️ Pilkada memilih Gubernur, Bupati, dan ...",Instagram › panwaslihkotabandaaceh,"Pemilu dan Pilkada adalah dua proses yang penting dalam demokrasi Indonesia. Dalam pemilu, rakyat memilih anggota Dewan Perwakilan Rakyat, ...",[],[],{},6 suka,3 bulan yang lalu,p,organic,8,,,,,,,instagram_search.json
https://www.instagram.com/p/DTO7kOqE2DQ/,PROJO Probolinggo Dukung Kompromi Pilkada: Gubernur ...,Instagram › dppprojo,"1 likes, 0 comments - dppprojo on January 7, 2026: ""PROJO Probolinggo Dukung Kompromi Pilkada: Gubernur Dipilih DPRD, Bupati/Wali Kota Tetap ...","['Gubernur', 'DPRD']",[],{},1 suka,14 jam yang lalu,p,organic,9,,,,,,,instagram_search.json
https://www.instagram.com/reel/DSD5MW7kjgI/,Elite partai politik berulang kali berusaha menghapus pilkada ...,Instagram › tempodotco,"Pilkada langsung adalah bagian penting dari demokrasi Indonesia. Namun, beberapa partai politik telah berusaha menghapusnya untuk ...",[],[],{},"3,2 rb+ suka",1 bulan yang lalu,reel,organic,10,0:30,,,,,,instagram_search.json
https://www.instagram.com/p/DTKpi7UkxX9/,...,Instagram › dppprojo,"PROJO Setujui Kompromi Pilkada: Gubernur Dipilih DPRD, Bupati dan Wali Kota Tetap Dipilih Langsung Editorial Team Admin@ Selasa, 6 Januari 2026 ...","['Gubernur', 'DPRD']",[],{},6 suka,2 hari yang lalu,p,organic,11,,,,,,,instagram_search.json
https://www.instagram.com/p/DD6WuHAyOUH/,"DPRD Pilih Gubernur, Demokrasi Mundur. Perhelatan ...",Instagram › seknasjppr,"90 likes, 2 comments - seknasjppr on December 22, 2024: ""DPRD Pilih Gubernur, Demokrasi Mundur. Perhelatan Pilkada Serentak 2024 menarik ...","['DPRD', 'Gubernur']",[],{},90+ suka,1 tahun yang lalu,p,organic,12,,,,,,,instagram_search.json
https://www.instagram.com/p/DE4DisAyCUS/,Pimpinan dan Anggota DPRD Provinsi Banten Menggelar ...,Instagram › dprdbanten,... DPRD Provinsi Banten Menggelar Rapat Paripurna Pengumuman Hasil Penetapan Pasangan Calon Gubernur dan Wakil Gubernur Terpilih oleh KPU ...,"['DPRD', 'Gubernur', 'Gubernur']",[],{},80+ suka,11 bulan yang lalu,p,organic,13,,,,,,,instagram_search.json
https://www.instagram.com/p/DTQGoLyEXqB/,PDI Perjuangan Provinsi Gorontalo menolak Pemilihan ...,Instagram › pdiperjuangan,"9 likes, 0 comments - pdiperjuangan on January 8, 2026: ""PDI Perjuangan Provinsi Gorontalo menolak Pemilihan Kepala Daerah (Pilkada) melalui ...",['Pemilihan'],[],{},9 suka,3 jam yang lalu,p,organic,14,,,,,,,instagram_search.json
https://www.instagram.com/p/DHA-ZfQSp-s/,"TemanPemilih, KPU Asahan mengikuti kegiatan Rapat ...",Instagram › kpuasahan_official,"29 likes, 0 comments - kpuasahan_official on March 10, 2025: ""TemanPemilih, KPU Asahan mengikuti kegiatan Rapat Paripurna DPRD Kabupaten ...",['DPRD'],[],{},20+ suka,10 bulan yang lalu,p,organic,15,,,,,,,instagram_search.json
https://www.instagram.com/p/DTP2UXgkycP/,Setelah lebih dari 20 tahun pilkada langsung berjalan ...,Instagram › almuzzammil.yusuf,"SNN, JAKARTA — Dukungan terhadap wacana pemilihan kepala daerah melalui DPRD kian meluas di kalangan partai pendukung pemerintah. Partai ...","['pemilihan', 'DPRD']",[],{},10+ suka,6 jam yang lalu,p,organic,16,,,,,,,instagram_search.json
https://www.instagram.com/p/DEqsQq3z_sa/,"SobatBPKAD, Kepala Badan Pengelolaan Keuangan dan ...",Instagram › bpkadjabarprov,"... Gubernur dan Calon Wakil Gubernur Jawa Barat Terpilih bertempat di Ruang Rapat Paripurna DPRD Provinsi Jawa Barat, Jum'at (10/01/2025) ...","['Gubernur', 'Gubernur', 'DPRD']",[],{},40+ suka,12 bulan yang lalu,p,organic,17,,,,,,,instagram_search.json
https://www.instagram.com/reel/C71XZYtp9Gq/,"KPU Provinsi Jawa Timur on Instagram: ""Hai..hai ...",Instagram › kpu_jatim,"684 likes, 5 comments - kpu_jatim on June 5, 2024: ""Hai..hai TemanPemilih Happy asmara aja mau meriahkan Peluncuran Pemilihan Gubernur dan ...",[],[],{},680+ suka,1 tahun yang lalu,reel,organic,18,0:36,,,,,,instagram_search.json
https://www.instagram.com/reel/DTO4LbujxIN/,PDIP mengungkap adanya upaya lobi dari partai politik koalisi ...,Instagram › tribunnews,PDIP tetap menolak mendukung Pilkada melalui DPRD meski ada yang melobi. Deddy Sitorus menyatakan bahwa PDIP tidak akan berubah sikapnya ...,[],[],{},10+ suka,15 jam yang lalu,reel,organic,22,1:39,,,,,,instagram_search.json
https://www.instagram.com/p/DR9p3aXAWsC/,Bahlil Usul Kepala Daerah Dipilih DPRD Simak ...,Instagram › lkigolkar,Bupati Bantul didampingi Sekda Bantul hari ini di ruang kerja Bupati secara online mengikuti rapat persiapan pelaksanaan Pemilihan Kepala ...,['Pemilihan'],[],{},100+ suka,1 bulan yang lalu,p,organic,23,,,,,,,instagram_search.json
