video_id,title,description,url,channel_id,channel_title,published_at,view_count,like_count,comment_count,duration,thumbnail_url,content_type,metadata,keyword
nvdFCjhVLN4,"Pilkada Lewat DPRD, Solusi Hemat? | AKIM tvOne","AKIM, - Pilkada Lewat DPRD , Solusi Hemat? | AKIM tvOne Ide untuk mengembalikan mekanisme ...",https://www.youtube.com/watch?v=nvdFCjhVLN4,UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews,3 hari yang lalu,0,0,0,39.20,https://i.ytimg.com/vi/nvdFCjhVLN4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0vDYJs8XAZ0eHM0-032QE-nHeYg,video,"{'scraped_at': '2026-01-08T16:07:04.074368', 'scraper': 'youtube', 'keywords': ['https', 'tvone', 'dprd', 'com', 'mengembalikan', 'hemat', 'tvonenews', 'www', 'mekanisme', 'ide'], 'language': 'id'}",pemilihan gubernur oleh DPRD
smexvSJSHgE,"Ray Rangkuti Soroti Perubahan Sikap Demokrat soal Pilkada Lewat DPRD, Tekanan atau Demi Kekuasaan?","JAKARTA, KOMPAS.TV - Sikap Partai Demokrat soal mekanisme kepala daerah dipilih melalui DPRD kini berbalik arah.",https://www.youtube.com/watch?v=smexvSJSHgE,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,1 hari yang lalu,0,0,0,4.47,https://i.ytimg.com/vi/smexvSJSHgE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTjJTQH_2C1nwb-RZAzHJkISANfg,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['atau', 'soal', 'arah', 'partai', 'pilkada', 'kekuasaan', 'demi', 'dipilih', 'melalui', 'kompas'], 'language': 'id'}",pemilihan gubernur oleh DPRD
pS_MqR7VroQ,[FULL] Beda Pendapat Bivitri Susanti & Komisi II DPR F-PKB soal Kepala Daerah Dipilih DPRD,KOMPAS.TV - Sejumlah partai politik secara terbuka mendukung usulan pemilihan kepala daerah dilakukan melalui DPRD .,https://www.youtube.com/watch?v=pS_MqR7VroQ,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,6 hari yang lalu,0,0,0,20.39,https://i.ytimg.com/vi/pS_MqR7VroQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4nVQZARmsKQIrJBXbiKu2XCSlsw,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['usulan', 'dpr', 'soal', 'full', 'susanti', 'partai', 'pemilihan', 'dipilih', 'pendapat', 'melalui'], 'language': 'id'}",pemilihan gubernur oleh DPRD
aTkfJyYZCO8,Ahok Tolak Keras Wacana Pilkada via DPRD,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru. Mantan Gubernur DKI Jakarta ...,https://www.youtube.com/watch?v=aTkfJyYZCO8,UCr8WCDMH5PpPq6uUxHg5A7w,Tribun Kaltim Official,10 jam yang lalu,0,0,0,16.14,https://i.ytimg.com/vi/aTkfJyYZCO8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCikukZUjBFnYPzWX_L-byz-URQvg,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['play', 'atau', 'ahok', 'dki', 'gubernur', 'pilkada', 'aplikasi', 'via', 'keras', 'tribunx'], 'language': 'id'}",pemilihan gubernur oleh DPRD
C6TyzMMmtMk,Pengamat Klaim Tokoh Seperti Jokowi & Anies Baswedan Gak Akan Muncul Jika Kepala Daerah Dipilih DPRD,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru TRIBUN-VIDEO.COM- Direktur ...,https://www.youtube.com/watch?v=C6TyzMMmtMk,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,9 jam yang lalu,0,0,0,0.06,https://i.ytimg.com/vi/C6TyzMMmtMk/hq720_2.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARgTIFAofzAP&rs=AOn4CLC3VMzfYlfvX3bLEzXBDfa5xj3h1A,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['play', 'tribun', 'gak', 'atau', 'direktur', 'jokowi', 'com', 'klaim', 'dipilih', 'anies'], 'language': 'id'}",pemilihan gubernur oleh DPRD
-gOSvGmlNkE,Sekjen Sugiono Paparkan Alasan Gerindra Dukung Kepala Daerah Dipilih DPRD,"Garuda Tv- Dalam pernyataan sikap terbarunya, Partai Gerindra menekankan pentingnya evaluasi sistem pemilihan demi ...",https://www.youtube.com/watch?v=-gOSvGmlNkE,UCmXp0n4Oq8DGzjRZj3EvG4Q,GARUDA TV,11 hari yang lalu,0,0,0,2.01,https://i.ytimg.com/vi/-gOSvGmlNkE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtAbp-XUSLPjf_fr_CfTsbgydRgw,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['dalam', 'partai', 'menekankan', 'evaluasi', 'pemilihan', 'demi', 'paparkan', 'dipilih', 'sistem', 'alasan'], 'language': 'id'}",pemilihan gubernur oleh DPRD
x-4OoYoP0X8,"Jebakan Pilkada Lewat DPRD, Siapa Untung dan Buntung?",Di penutup tahun 2025 dan awal tahun 2026 kembali kencang wacana usulan pemilihan kepala daerah lewat DPRD .,https://www.youtube.com/watch?v=x-4OoYoP0X8,UCovqoUzPm9_s6mMt9OiWKpA,Harian Kompas,5 hari yang lalu,0,0,0,5.38,https://i.ytimg.com/vi/x-4OoYoP0X8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrJweUtE61oRl_ufufQYGHy47u2w,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['usulan', 'pilkada', 'pemilihan', 'siapa', 'awal', 'penutup', 'tahun', '2025', 'daerah', 'kepala'], 'language': 'id'}",pemilihan gubernur oleh DPRD
dtJHbOKWBfQ,Ahok Tegas Tolak Pilkada oleh DPRD: Itu Mengambil Hak Rakyat!,"Mantan Gubernur DKI Jakarta Basuki Tjahaja Purnama alias Ahok menolak wacana mekanisme Pilkada via DPRD , dan ...",https://www.youtube.com/watch?v=dtJHbOKWBfQ,UCJpdpj9hNhaYBRGusGv7CjQ,Tribun Jateng,2 jam yang lalu,0,0,0,1.00,https://i.ytimg.com/vi/dtJHbOKWBfQ/hq720_2.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARgTIEwofzAP&rs=AOn4CLCeahU2pJBM9RqqzeNGxZ_bgFLK2g,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['tjahaja', 'ahok', 'dki', 'gubernur', 'pilkada', 'menolak', 'basuki', 'rakyat', 'oleh', 'alias'], 'language': 'id'}",pemilihan gubernur oleh DPRD
x3CyxHF_L5M,Gerindra Dukung Usulan Kepala Daerah Dipilih DPRD,"Partai Gerindra menyatakan dukungan terhadap usulan pemilihan kepala daerah (mulai dari bupati, wali kota hingga gubernur ) ...",https://www.youtube.com/watch?v=x3CyxHF_L5M,UCm2Fz7aL464TC_0uG_yagng,kumparan,10 hari yang lalu,0,0,0,1.51,https://i.ytimg.com/vi/x3CyxHF_L5M/hq720_2.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhyID4oMjAP&rs=AOn4CLAThvtyfDOgFDO8rTjyL60AYttLPg,video,"{'scraped_at': '2026-01-08T16:07:04.075369', 'scraper': 'youtube', 'keywords': ['terhadap', 'daerah', 'gerindra', 'usulan', 'dukung', 'dprd', 'dipilih', 'kepala', 'dukungan', 'wali'], 'language': 'id'}",pemilihan gubernur oleh DPRD
H8vkSn2s3rM,"Pilkada Dipilih DPRD?, Demokrasi Mundur atau Diperbaiki? beritasatu",Wacana perubahan mekanisme Pilkada dari pemilihan langsung oleh rakyat menjadi melalui DPRD kembali mengemuka dan ...,https://www.youtube.com/watch?v=H8vkSn2s3rM,UCqLsfkQSM0yfyGvONAGWd3Q,BeritaSatu,5 hari yang lalu,0,0,0,24.31,https://i.ytimg.com/vi/H8vkSn2s3rM/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgpICQofzAP&rs=AOn4CLDmrFajg7dBaEaupUnbs4VxkIFR-w,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['atau', 'mengemuka', 'demokrasi', 'pilkada', 'menjadi', 'pemilihan', 'dipilih', 'rakyat', 'beritasatu', 'oleh'], 'language': 'id'}",pemilihan gubernur oleh DPRD
