"commentUrl","error","errorDescription","id","likesCount","media/_is__TOnXDTCommentGiphyMediaInfo__0","media/gif_media_id","media/id","media/images/fixed_height/height","media/images/fixed_height/mp4","media/images/fixed_height/mp4_size","media/images/fixed_height/size","media/images/fixed_height/url","media/images/fixed_height/webp","media/images/fixed_height/webp_size","media/images/fixed_height/width","media/is_sticker","media/title","media/username","owner/fbid_v2","owner/full_name","owner/id","owner/is_mentionable","owner/is_private","owner/is_verified","owner/latest_reel_media","owner/profile_pic_id","owner/profile_pic_url","owner/username","ownerProfilePicUrl","ownerUsername","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp","repliesCount","requestErrorMessages/0","text","timestamp","url"
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/reel/DTP6JToEwCX/"
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/reel/DBsd1z2PzsA/"
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/p/DTKqIsiEjxU/"
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/p/DTNn2IbATIY/"
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/p/DSpFAA4EgeJ/"
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/reel/DC3auRpT_wH/"
"https://www.instagram.com/p/C9Ob4wlyBe4/c/18023844185213519",,,"18023844185213519","0",,,,,,,,,,,,,,,"17841446225296865","PksPangandaran","46134924843","true","false","false","0","3724410293721114577","https://scontent-lax3-1.cdninstagram.com/v/t51.82787-19/551070055_18052658063540844_4256345602088365591_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=102&ig_cache_key=GGep2CBsAiH-yyJAABfuxSXGkxE7bmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44MjguQzMifQ%3D%3D&_nc_ohc=7ddL9Z13FLsQ7kNvwF5RgGw&_nc_oc=AdnA-tJ3bColENCIk8eicMYilNXRiFlD_nNPP3ZXkECkQTQDjFlTNf16ZcdJE0g0cuk&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=K-5_2zkuzJxlKt9YZT-cvw&oh=00_AfoN6sk4uil8YOXei6vYmT7CeZCAPHwLHi83OkZrQlIY8Q&oe=6965FAEF","pks_pangandaran","https://scontent-lax3-1.cdninstagram.com/v/t51.82787-19/551070055_18052658063540844_4256345602088365591_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=102&ig_cache_key=GGep2CBsAiH-yyJAABfuxSXGkxE7bmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44MjguQzMifQ%3D%3D&_nc_ohc=7ddL9Z13FLsQ7kNvwF5RgGw&_nc_oc=AdnA-tJ3bColENCIk8eicMYilNXRiFlD_nNPP3ZXkECkQTQDjFlTNf16ZcdJE0g0cuk&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=K-5_2zkuzJxlKt9YZT-cvw&oh=00_AfoN6sk4uil8YOXei6vYmT7CeZCAPHwLHi83OkZrQlIY8Q&oe=6965FAEF","pks_pangandaran","https://www.instagram.com/reel/C9Ob4wlyBe4/",,,,,,,,,,,,,,,,,,"0",,"Clear pak ketua 👏","2024-07-10T12:13:55.000Z",
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/reel/DTP8-8Gkpf1/"
,"no_items","Empty or private data for provided input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HTTP 404 Not found",,,"https://www.instagram.com/p/DS3sXj2E7TJ/"
"https://www.instagram.com/p/DSkO73FjOFy/c/18083779664117693",,,"18083779664117693","0",,,,,,,,,,,,,,,"17841457228425246","Fery Radiansyah","57161971614","true","false","false","0","3304122906925377463","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/428083450_1126935708657412_7962932635107440014_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=110&ig_cache_key=GPoIhBkEZ5kq8QAEAI618c0KBYJubkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=xCzmgtdXNPsQ7kNvwGkyNMc&_nc_oc=AdmYtwCKIcQ-7_h5z8WL4-7jN1vaCKdRlX3cNEII8kyG6OYd_4PhFdz5M_-oAK1BcgE&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=00_AfqulFT5_vOwLm7Qmp4cbp59fDuDIfTiFcUN2HVRuB9cUQ&oe=6965ED68","radiansyah527","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/428083450_1126935708657412_7962932635107440014_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=110&ig_cache_key=GPoIhBkEZ5kq8QAEAI618c0KBYJubkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=xCzmgtdXNPsQ7kNvwGkyNMc&_nc_oc=AdmYtwCKIcQ-7_h5z8WL4-7jN1vaCKdRlX3cNEII8kyG6OYd_4PhFdz5M_-oAK1BcgE&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=00_AfqulFT5_vOwLm7Qmp4cbp59fDuDIfTiFcUN2HVRuB9cUQ&oe=6965ED68","radiansyah527","https://www.instagram.com/reel/DSkO73FjOFy/",,,,,,,,,,,,,,,,,,"0",,"Sepakat","2025-12-23T00:36:45.000Z",
