"author_display_name","author_is_verified","author_profile_pic_url","author_profile_url","author_username","created_at","created_at_timestamp","has_audio","hashtags/0","is_liked_by_author","item_type","like_count","media_type","mentions/0/username","post_code","post_url","quote_count","reply_count","reply_id","reply_to_username","reply_url","repost_count","scraped_at","share_count","text_content","view_count"
"Kris Tjahajaning Tyas","false",,,"kris_tjahajaning_tyas","2026-01-07T07:01:57.000Z",,,,,"original_post","1",,,"DTM0oS9Ei_h","https://www.threads.com/@kris_tjahajaning_tyas/post/DTM0oS9Ei_h/gak-setuju-pilkada-lewat-dprd-wijudkan-pemilihan-langsung-klo-dibilang-gak","2","170",,,,"8","2026-01-08T22:13:20.034745Z","0","Gak setuju Pilkada lewat DPRD, wijudkan pemilihan langsung…. Klo dibilang gak efisien, noh lihat gemuknya kabinet yg udh jelas2 gak efisien","26"
"serahadiwa","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/491468768_1371451997225473_3785385323649244605_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=8YXfJKcx6OMQ7kNvwEM34XQ&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfoeG-5KRkSKwxBPGa1RXrXa3L6Rs2MGUsAgsG-sk8U12A&oe=696602C8&_nc_sid=10d13b","https://www.threads.com/@serahadiwa","serahadiwa","2026-01-06T10:05:30.000Z","1767693930","false",,"false","reply","28","1",,,,"0","3","DTKk1xcgb2W","serahadiwa","https://www.threads.com/@serahadiwa/post/DTKk1xcgb2W","1","2026-01-08T22:13:20.055084Z",,"Wacana ini timbul alasannya untuk mengurangi anggaran alias efisiensi. Tapi kemungkinan ongkos politik pasti tetap mahal untuk melobi elite partai, seperti di awal tahun 2000an dulu. Bedanya lebih tertutup aja. 🫣",
"Firmansyah","false","https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/564360635_17842091439599790_1026417782637679493_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=d1WctB1JdT4Q7kNvwEbcxzW&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfqLebOQI2h0vgaXIKHLCrW-Ak3TYe8uVRySGo_CLqYGBw&oe=6965F1B9&_nc_sid=10d13b","https://www.threads.com/@firmanfma","firmanfma","2026-01-06T12:06:22.000Z","1767701182","false",,"false","reply","133","19",,,,"0","5","DTKyrBdk9hV","serahadiwa","https://www.threads.com/@firmanfma/post/DTKyrBdk9hV","5","2026-01-08T22:13:20.055195Z",,"Kalo Pilkada lewat DPRD, yang jadi Gubernur DKI Jakarta Ridwan Kamil, bukan Pramono Anung 😌",
"Nicholas Clementino","false","https://instagram.fmcp5-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fmcp5-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFRNaDqyEvJChtri35yrF06BTk68f9eywjlQrdid6loTWOijxABnEn9IOKVj7YsjoDwhxkA3RfcXnlXbP0MgmkP&_nc_ohc=jFezCB5ZvcgQ7kNvwFM0SLc&_nc_gid=E-_hChcoBH9-yhv8OkQHgw&edm=ALbqBD0BAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_Aforw5SB9I07KqYjmuVrtcamuCabWQft0l2iBKywMhBHvA&oe=6965FFEA&_nc_sid=847350","https://www.threads.com/@nicholasclementino","nicholasclementino","2026-01-06T12:17:00.000Z","1767701820","false",,"false","reply","52","19",,,,"0","8","DTKz44qkq7B","serahadiwa","https://www.threads.com/@nicholasclementino/post/DTKz44qkq7B","3","2026-01-08T22:13:20.055239Z",,"Lawan. Anak2 98 sdh berdarah melawan orba skrng mau dibikin orba lg. Uang akan berputar di dpr. Siapa yg berani bayar dia akan terpilih. Boong kl efisiensi. Rakyat lg yg akan dikorbankan. Dah waktunya rakyat turun kembali. Sampai kapan kita diam?",
"Adjie Nugroho Nainggolan","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/499071743_17912359077114595_5414695787384139613_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=-er-yoZApGkQ7kNvwFNh2go&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afpyk2-yxNdkaARlFjE_FKaEOyddiMGO0f8K68anociBOA&oe=696615C4&_nc_sid=10d13b","https://www.threads.com/@adjienainggolan","adjienainggolan","2026-01-07T00:31:18.000Z","1767745878","false",,"false","reply","18","19",,,,"0","2","DTMH7BSExfn","serahadiwa","https://www.threads.com/@adjienainggolan/post/DTMH7BSExfn","0","2026-01-08T22:13:20.055272Z",,"Alasan Gue Masih simpati sama PDI P. Ngga sempurna ... Tapi Masih ada point point yg Masih memihak ke Rakyat Dan berdasarkan konstitusi. Dulu sempet berharap ke PSI eh ternyata...",
"Roys Ok","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/521343983_18063952403334344_6936495358645774863_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=xkiYpIhlTH0Q7kNvwEKN5lm&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfronnNUUcLjyhRxnFJFUxMlCPxWdghO0g1MWcKlzyhxIw&oe=6965EDE7&_nc_sid=10d13b","https://www.threads.com/@roys.ok2020","roys.ok2020","2026-01-06T14:30:13.000Z","1767709813","false",,"false","reply","5","19",,,,"0","2","DTLDIirkwGG","serahadiwa","https://www.threads.com/@roys.ok2020/post/DTLDIirkwGG","0","2026-01-08T22:13:20.055294Z",,"Nah itu...panji sebenar nya di bayar pemerintah buat nyamarin itu..",
"TokoBerkahSejahtera","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/483966828_530828299621783_4518479183117589187_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NzYuYzIifQ&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=BFtcb_Jdo_YQ7kNvwGk_uj1&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfrjdQqQVRVnakFJnsROK3idsXRpfmnh5tr74JUYrZ2IVw&oe=69660EBB&_nc_sid=10d13b","https://www.threads.com/@toko_berkahsejahtera","toko_berkahsejahtera","2026-01-07T05:06:14.000Z","1767762374","false",,"false","reply","7","19",,,,"0","2","DTMnYuTDyYu","serahadiwa","https://www.threads.com/@toko_berkahsejahtera/post/DTMnYuTDyYu","0","2026-01-08T22:13:20.055344Z",,"Org indo tdk percaya klo yg skrg jd presiden Orde Baru akan berkuasa lagi..awal, militer mulai banyak pegang jab sipil, soeharto jd pahlawan nasional, habis itu kepala daerah dipilih DPRD, trus nnti DPRD pilih tentara atau polisi utk jd kepala daerah, dan setelah sadar semua..akhirnya kita kembali lagi ke jaman sblm 1998..penak jaman ku toh le?..nikmatin setiap prosesnya..oke gas..oke gas..,",
"Bang Poer New","true","https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/298193977_632359058279705_6454462851162561509_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NDAuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=EjtLhJ-zAa4Q7kNvwHCOBI3&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfoeyHTkHjsMzFOZyacrT5535wcm_dN4ha2tnQsIbSG5Iw&oe=6965ED32&_nc_sid=10d13b","https://www.threads.com/@bangpoerslalu","bangpoerslalu","2026-01-07T00:55:38.000Z","1767747338","false","TolakPilkadaOlehDPRD","false","reply","9","1","pk_sejahtera",,,"0","3","DTMKtTbk4nb","serahadiwa","https://www.threads.com/@bangpoerslalu/post/DTMKtTbk4nb","1","2026-01-08T22:13:20.055385Z",,"Walaupun @pk_sejahtera masih mengkaji tapi hasil akhirnya tetap PKS mendukung pilkada oleh DPRD, mereka hanya nunggu bargaining yg belum deal aja. Jadi komposisinya PDIP (110 kursi) lawan 7 Fraksi (465 kursi) #TolakPilkadaOlehDPRD",
"Agung Irawan","false","https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/514537024_18389982394140707_6567055335042133375_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjAuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=tAWL0k6hzVoQ7kNvwGbLSC6&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfoEsTepfrKs10-a2Oiohvd8Nj03NAy4jPrnIT_rNzJtyw&oe=6965E573&_nc_sid=10d13b","https://www.threads.com/@iraagg96","iraagg96","2026-01-06T12:29:25.000Z","1767702565","false",,"false","reply","22","19",,,,"0","0","DTK1TxikygQ","serahadiwa","https://www.threads.com/@iraagg96/post/DTK1TxikygQ","0","2026-01-08T22:13:20.055412Z",,"Alasan berhemat, sejatinya hanya bagi2 kekuasaan.... Kalau mau hemat, yg di ubah teknis pemilu nya, cari formula yg tepat, tapi ah sudahlah...",
"d'koes","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/461615010_2295875820778845_5570938622816765363_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHFvLKdxP0LcRb7WTbHWCF5B7LUbMbJYJa0BhfstHSc_483oBW3dANP8GmRN2Af8pM&_nc_ohc=7qIUgNGurGQQ7kNvwFPP2AM&_nc_gid=4UTAr2UGW5lLJs-BJVScsQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfoXDlNg35mnUaN6EjW2Kq1QlikI4SVV-_G4ZyWO51i3oQ&oe=6965F756&_nc_sid=10d13b","https://www.threads.com/@dkoes7","dkoes7","2026-01-06T14:22:53.000Z","1767709373","false",,"false","reply","3","19",,,,"0","2","DTLCS0yD9PI","serahadiwa","https://www.threads.com/@dkoes7/post/DTLCS0yD9PI","0","2026-01-08T22:13:20.055439Z",,"Setuju tidak ada pemilu, anggaran pemilu akan jauh lebih bermanfaat untuk menghidupkan roda ekonomi, pemilu boleh saja ada, semua calon wakil rakyat harus INDEPENDEN, tanpa campur tangan partai... Rusak sudah negeri ini oleh partai..",
